age,Dx,Px,mx,qx,lx,dx,Lx,Tx,ex
75,1894,40572,0.0458644249,0.0448362309,61458.5184466947,2755.5683263192,60080.7342835351,616008.696036959,10.0231621524
76,1741,36070,0.0495321826,0.0483351109,58702.9501203755,2837.4136030351,57284.2433188579,555927.961753424,9.4701877949
77,1711,31483,0.054143342,0.0527162257,55865.5365173404,2945.0202295963,54393.0264025422,498643.718434566,8.9257841152
78,1717,28879,0.0598227796,0.0580853656,52920.5162877441,3073.9075368116,51383.5625193383,444250.692032024,8.394677966
79,1634,25198,0.0663525167,0.0642218752,49846.6087509325,3201.2426847723,48245.9874085463,392867.129512685,7.8815217195
80,1538,21432,0.0736507383,0.0710348536,46645.3660661602,3313.4467514953,44988.6426904125,344621.142104139,7.3881109994
81,1501,18776,0.0819056643,0.0786833579,43331.9193146648,3409.5009177659,41627.1688557819,299632.499413726,6.9148217792
82,1478,16470,0.0910250879,0.0870626455,39922.418396899,3475.7513589063,38184.5427174458,258005.330557945,6.4626678673
83,1459,14921,0.1012561813,0.0963768075,36446.6670379926,3512.6134133459,34690.3603313197,219820.787840499,6.0313001354
84,1521,13538,0.1127025061,0.10669037,32934.0536246467,3513.7463675289,31177.1804408823,185130.427509179,5.621246313
85,1590,11985,0.1254685366,0.1180620032,29420.3072571178,3473.4204098913,27683.5970521722,153953.247068297,5.2328905243
86,1509,10691,0.1396570085,0.1305414914,25946.8868472266,3387.145305787,24253.3141943331,126269.650016125,4.866466284
87,1412,9296,0.1553656043,0.1441663577,22559.7415414396,3252.3557677392,20933.56365757,102016.335821792,4.5220525082
88,1352,7796,0.1726829654,0.1589582724,19307.3857737004,3069.0686878727,17772.851429764,81082.7721642216,4.1995728015
89,1239,6220,0.19168407170000001,0.1749194368,16238.3170858277,2840.3972788285,14818.1184464134,63309.9207344576,3.8987981575
90,1038,4701,0.2124251039,0.1920291932,13397.9198069991,2572.7917313185,12111.5239413398,48491.8022880442,3.6193530777
91,835,3570,0.2349379852,0.2102411671,10825.1280756806,2275.8875609716,9687.1842951948,36380.2783467043,3.360724981
92,726,2638,0.2592248984,0.2294812691,8549.2405147089,1961.8905629007,7568.2952332586,26693.0940515096,3.122276652
93,549,1836,0.2852531621,0.249646881,6587.3499518082,1644.5113694752,5765.0942670706,19124.798818251,2.9032613962
94,413,1236,0.3129509308,0.2706074968,4942.838582333,1337.5691758356,4274.0539944152,13359.7045511804,2.7028405497
95,302,858,0.3422042191,0.2922069872,3605.2694064974,1053.4849112788,3078.5269508581,9085.6505567652,2.5201030859
96,219,568,0.3728557395,0.314267516,2551.7844952187,801.9429746677,2150.8130078848,6007.1236059071,2.3540873523
97,147,353,0.4047059595,0.3365949653,1749.8415205509,588.9878458519,1455.347597625,3856.3105980223,2.203805632
98,94,193,0.4375166292,0.3589855543,1160.8536746991,416.7296999234,952.4888247374,2400.9630003973,2.0682735927
99,47,104,0.4710168128,0.3812331914,744.1239747757,283.6847577309,602.2815959102,1448.4741756599,1.9465495331
100,19,50,0.5049111967,0.4031370033,460.4392170447,185.6200861641,367.6291739627,846.1925797497,1.8377943243
101,5,33,0.5388901876,0.4245084646,274.8191308806,116.6630472792,216.487607241,478.5634057871,1.7413758797
102,3,37,0.5726410952,0.4451776007,158.1560836014,70.4075458399,122.9523106815,262.075798546,1.6570706139
103,2,30,0.6058595523,0.4649978559,87.7485377615,40.8028819155,67.3470968038,139.1234878646,1.5854792731
104,2,19,0.6382602978,0.4838493748,46.945655846,22.7146262292,35.5883427314,71.7763910608,1.5289250894
105,1,7,0.6695865275,1,24.2310296168,24.2310296168,36.1880483294,36.1880483294,1.4934589616
