age,Dx,Px,mx,qx,lx,dx,Lx,Tx,ex
44,101,93624,0.0011002506,0.0010996457,98431.7532760781,108.2400496372,98377.6332512596,3837523.62566875,38.9866430084
45,102,90572,0.0012067334,0.0012060057,98323.5132264409,118.5787198892,98264.2238664964,3739145.99241749,38.0290112682
46,113,83432,0.0013260952,0.0013252165000000001,98204.9345065518,130.1428038309,98139.8631046363,3640881.76855099,37.0743261206
47,120,77265,0.001459483,0.0014584187,98074.7917027208,143.0341107367,98003.2746473525,3542741.90544635,36.1228593397
48,109,73549,0.0016079671,0.0016066754,97931.7575919842,157.3445439595,97853.0853200044,3444738.630799,35.174888264
49,137,70518,0.0017726703,0.0017711005,97774.4130480247,173.1683126112,97687.8288917191,3346885.545479,34.2306892074
50,122,67399,0.0019556462,0.0019537358,97601.2447354134,190.6870471308,97505.901211848,3249197.71658728,33.2905356422
51,147,65783,0.0021597903,0.0021574605,97410.5576882826,210.159432022,97305.4779722716,3151691.81537543,32.3547250952
52,163,66246,0.0023884266,0.0023855777,97200.3982562606,231.879104881,97084.4587038201,3054386.33740316,31.4235989996
53,167,67904,0.0026446517,0.0026411593,96968.5191513797,256.1093018552,96840.4645004521,2957301.87869934,30.4975460549
54,195,70595,0.0029316598,0.0029273688,96712.4098495245,283.1128917419,96570.8534036535,2860461.41419889,29.57698416
55,271,70961,0.0032531235,0.0032478407,96429.2969577826,313.186996944,96272.703459310593,2763890.56079523,28.6623531229
56,218,66349,0.0036136819,0.0036071643,96116.1099608386,346.7066039021,95942.7566588875,2667617.85733592,27.7541179977
57,238,62081,0.0040187812,0.0040107221,95769.4033569365,384.1044654507,95577.3511242111,2571675.10067703,26.8527839846
58,284,60579,0.0044731776,0.0044631952,95385.2988914858,425.7232124839,95172.4372852438,2476097.74955282,25.9589032936
59,280,59453,0.0049784341,0.0049660725,94959.5756790018,471.5761333568,94723.7876123234,2380925.31226758,25.0730407675
60,350,61795,0.0055343067,0.0055190347,94487.999545645,521.4825505445,94227.2582703728,2286201.52465526,24.1956813103
61,391,66683,0.0061375768,0.0061187995,93966.5169951005,574.9622727555,93679.0358587227,2191974.26638488,23.3271843682
62,499,70229,0.0067806415,0.0067577306,93391.554722345,631.1149653416,93075.9972396742,2098295.23052616,22.4677192361
63,562,71844,0.0074525739,0.0074249066,92760.4397570034,688.7375973242,92416.0709583414,2005219.23328649,21.6171811878
64,594,72329,0.0081559131,0.0081227887,92071.7021596793,747.8789819929,91697.7626686828,1912803.16232815,20.7751471675
65,637,72506,0.0089120054,0.0088724697,91323.8231776864,810.2678510434,90918.6892521647,1821105.39965946,19.9411866071
66,697,73172,0.0097499109,0.0097026111,90513.5553266429,878.2178258314,90074.4464137272,1730186.7104073,19.1152220699
67,779,73955,0.0106964183,0.0106395159,89635.3375008116,953.6766017268,89158.4991999482,1640112.26399357,18.2976079493
68,876,73145,0.0117784925,0.0117095322,88681.6608990848,1038.4207639271,88162.4505171212,1550953.76479362,17.4890022251
69,898,71000,0.0130271842,0.0129428796,87643.2401351577,1134.3559048712,87076.0621827221,1462791.3142765,16.6902925088
70,1028,70516,0.0144609544,0.0143571454,86508.8842302865,1242.0206269151,85887.873916829,1375715.25209378,15.9025892466
71,1166,72201,0.0160905584,0.0159621386,85266.8636033714,1361.0414934682,84586.3428566373,1289827.37817695,15.1269476051
72,1309,71704,0.0179140327,0.0177550009,83905.8221099032,1489.7479454446,83160.9481371809,1205241.03532031,14.3642122205
